layer,sample_id,task_id,condition_name,cluster_label
6,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
6,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
6,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
6,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
6,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
6,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
6,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
7,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
7,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
7,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
7,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
7,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
7,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
7,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
7,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
7,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
7,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
7,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
7,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
7,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
7,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
7,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
7,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
7,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
7,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
7,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
7,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
7,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
7,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
7,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
7,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
8,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
8,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
8,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
8,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
8,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
8,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
8,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
8,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
8,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
8,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
8,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
8,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
8,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
8,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
8,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
8,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
8,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
8,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
8,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
8,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
8,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
8,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
8,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
8,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
9,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
9,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
9,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
9,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
9,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
9,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
9,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
9,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
9,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
9,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
9,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
9,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
9,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
9,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
9,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
9,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
9,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
9,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
9,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
9,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
9,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
9,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
9,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
9,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
10,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
10,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
10,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
10,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
10,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
10,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
10,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
10,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
10,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
10,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
10,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
10,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
10,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
10,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
10,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
10,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
10,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
10,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
10,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
10,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
10,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
10,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
10,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
10,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
11,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,2
11,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,2
11,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,2
11,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,2
11,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,2
11,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,2
11,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,2
11,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,2
11,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,2
11,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
11,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
11,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
11,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
11,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
11,summarize_paragraph__care__variant_2,summarize_paragraph,care,3
11,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,0
11,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,0
11,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,0
11,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
11,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
11,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
11,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,3
11,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,3
11,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,3
